Kit_ID,sampling_date,sampling_location,flow_mgd,normalized_conc_copies_per_L,pmmv_copies_per_mL_kit_raw,sarscov2_copies_per_mL_kit_raw,lab_protocol_version,rolling_average_new_cases_centered,fig1_label,sampling_method
864.B,2020-07-16,87e0d6ea299d566,71.8,124813.6309757334,331101.12727734767,113.2217367551896,Amicon,44.42857142857143,B4,time-proportional
868.C,2020-07-16,cca78eb97c0c580,93.0,1048200.3981426988,212336.9882002837,609.7855221149559,Amicon,2827.714285714286,B2,flow-proportional
867.D,2020-07-15,daa622cd0495565,91.3,578461.2045096208,184229.12549220305,291.97096393965444,Amicon,2879.714285714286,B1,flow-proportional
866.B,2020-07-15,2d41d086782ee98,99.7,1515101.6209506625,197845.90122265852,821.2510839476563,Amicon,2879.714285714286,A5,flow-proportional
842.A,2020-07-16,0dd30af46041e13,2.46,66854.3303171906,380127.8106172197,69.6251786678194,Amicon,4.142857142857143,H2,flow-proportional
941.E,2020-07-15,d9c50df0161cf34,48.0,317412.1241801239,94133.72625719653,81.8607835843481,Amicon,70.71428571428571,C5,volume-proportional
942.C,2020-07-16,ff5d4836f71f12a,2.08,24985.83564186547,924969.7763916212,63.31819947017562,Amicon,70.71428571428571,K2,volume-proportional
942.B,2020-07-16,461e405cab7c0c6,1.3319999999999999,16270.288202307776,423386.2473931797,18.872921276659213,Amicon,70.71428571428571,J4,volume-proportional
941.F,2020-07-16,b76382e1ce88998,5.024,124681.55142238372,291285.89263580664,99.5013068528391,Amicon,70.71428571428571,H3,volume-proportional
903.B,2020-07-16,f1fbf3b2ba8eb3c,7.54,17509.698745761067,123506.45693463732,5.92482425775839,Amicon,1.4285714285714286,E5,flow-proportional
912.K,2020-07-16,7a0739328409055,76.85,24521.02564924865,418298.9231454719,28.101694858912893,Amicon,42.857142857142854,A4,time-proportional
993.H,2020-07-12,7a0739328409055,79.11,23622.708469697085,278785.0610078689,18.042899238070145,Amicon,41.57142857142857,A4,time-proportional
992.N,2020-07-11,7a0739328409055,82.04,8260.838689466285,287797.6600003154,6.513561765667039,Amicon,48.28571428571429,A4,time-proportional
912.G,2020-07-16,3c27964274e4411,150.7,25803.080671704316,340467.24951075186,24.068777822463602,Amicon,42.857142857142854,A3,time-proportional
993.G,2020-07-12,3c27964274e4411,148.48,48089.31566697527,302368.35024703265,39.83749874721122,Amicon,41.57142857142857,A3,time-proportional
992.A,2020-07-11,3c27964274e4411,152.5,22446.340222981602,368862.098267516,22.683846994727496,Amicon,48.28571428571429,A3,time-proportional
911.L,2020-07-17,7a0739328409055,76.46,22770.38528463501,362467.26140020037,22.612381356572804,Amicon,39.857142857142854,A4,time-proportional
912.H,2020-07-17,3c27964274e4411,146.24,45193.93099150187,310941.6097962972,38.500475768548924,Amicon,39.857142857142854,A3,time-proportional
870.A,2020-07-14,1941a8e3c816ad4,4.144,46555.14065396252,2528382.7897944856,322.49100385189155,Amicon,49.14285714285714,E3,flow-proportional
727.B,2020-07-15,05379c53906ee13,2.43,47440.02675285039,284450.24876822816,36.97076003128683,Amicon,4.571428571428571,I3,flow-proportional
466.C,2020-07-15,40b456c91e17082,0.282,23615.798081565503,644140.9997718184,41.67644873059999,Amicon,1.2857142857142858,J5,flow-proportional
576.B,2020-07-15,a2080d803236bc6,0.919,87672.23168832451,766778.570322115,184.1785985504731,Amicon,9.714285714285714,K3,time-proportional
762.A,2020-07-15,4ca8ac3a26399b1,0.539,153467.38993795085,760799.8905066554,319.88485879763067,Amicon,38.0,K5,flow-proportional
871.E,2020-07-15,ac90d6530cefd5c,29.9,69480.74063171668,224039.19741511848,42.647696895720046,Amicon,8.857142857142858,C4,time-proportional
932.B,2020-07-14,09a42440d4d8e40,180.0,167417.55345716962,536447.8506801204,246.0569499129392,Amicon,184.85714285714286,A1,flow-proportional
679.A,2020-07-14,9021280c7cff7e7,6.7,275254.70835228823,580625.8091174817,437.8629801382022,Amicon,732.5714285714287,E1,flow-proportional
618.C,2020-07-15,342bef84580b269,0.787,51255.42024172659,376894.9244070112,52.925774623164756,Amicon,1.8571428571428568,K4,time-proportional
638.A,2020-07-14,a4362b0e6704170,19.0,36511.14231813645,203548.3953911984,20.361053240428365,Amicon,23.714285714285715,D1,flow-proportional
940.B,2020-07-08,d9c50df0161cf34,44.0,95464.31030493684,147424.76817425928,38.55836661813935,Amicon,69.14285714285714,C5,volume-proportional
940.A,2020-06-24,d9c50df0161cf34,60.3,77092.56144640653,78300.70769697365,16.538087998427557,Amicon,48.57142857142857,C5,volume-proportional
941.B,2020-07-09,cd2e002ebec3ed6,2.75,285016.9043141154,406119.8590067493,317.1260958755855,Amicon,72.0,H4,volume-proportional
941.A,2020-07-09,ff5d4836f71f12a,1.2,143331.3785706291,354635.86496095173,139.26149976833062,Amicon,72.0,K2,volume-proportional
940.F,2020-07-09,461e405cab7c0c6,1.266,35584.63453486084,441464.2529924182,43.03929891216588,Amicon,72.0,J4,volume-proportional
940.C,2020-07-09,b76382e1ce88998,3.116,132323.3590367939,413621.8502339858,149.9502262848622,Amicon,72.0,H3,volume-proportional
605.D,2020-07-14,79bf4105f306ef5,2.2,120097.67729826026,432045.6750181573,142.15803303134157,Amicon,11.714285714285715,H5,flow-proportional
684.E,2020-07-15,eac6e627265ed8f,0.9059999999999999,45750.00589511647,333790.552071399,41.83813623287858,Amicon,1.7142857142857142,J3,time-proportional
721.B,2020-07-13,82f9ebb1b62d058,1.232,10827.644914855056,600769.6089181199,17.821698632881485,Amicon,109.0,I5,flow-proportional
911.N,2020-07-15,7a0739328409055,80.57,37431.15776320522,465287.53749885096,47.71575677088425,Amicon,40.42857142857143,A4,grab
911.M,2020-07-15,3c27964274e4411,181.1,29129.035192911422,233170.62155619336,18.60831572948873,Amicon,40.42857142857143,A3,grab
ABOO_6/11-6/12,2020-06-12,7a0739328409055,94.02,45714.08153302825,243878.39431301344,30.544320004846877,Amicon,43.714285714285715,A4,
ABOO_6/8-6/9,2020-06-09,7a0739328409055,91.73,49959.563412347576,266190.4343216566,36.43495310480314,Amicon,55.85714285714285,A4,
ABOO_6/7-6/8,2020-06-08,7a0739328409055,92.46,25564.22067981199,286888.47093968326,20.093370360536696,Amicon,57.85714285714285,A4,
ABOO_6/6-6/7,2020-06-07,7a0739328409055,96.04,23141.469713943545,251360.1901540341,15.936559528056627,Amicon,52.28571428571429,A4,
ABOO_6/5-6/6,2020-06-06,7a0739328409055,92.54,11015.010983220493,205256.7883737555,6.194262406349263,Amicon,61.57142857142857,A4,
ABOO_6/4-6/5,2020-06-05,7a0739328409055,89.34,35784.622072348255,345691.4307244986,33.89160877294668,Amicon,63.85714285714285,A4,
ABOO_6/3-6/4,2020-06-04,7a0739328409055,94.92,49734.42356117113,414970.5658614129,56.543347638274966,Amicon,152.14285714285714,A4,
ABOO_6/2-6/3,2020-06-03,7a0739328409055,90.77,36800.366889853685,355705.4939975799,35.863267626979706,Amicon,154.57142857142858,A4,
ABOO_5/31-6/1,2020-06-01,7a0739328409055,90.74,84389.88655376628,265615.91853796144,61.411773239158876,Amicon,156.0,A4,
ABOO_5/30-5/31,2020-05-31,7a0739328409055,93.33,81827.71469994889,263307.8786551357,59.02981362422248,Amicon,162.42857142857142,A4,
ABOO_5/29-5/30,2020-05-30,7a0739328409055,96.48,70195.68890919768,373167.3610375493,71.76641092180292,Amicon,157.57142857142858,A4,
ABOO_5/28-5/29,2020-05-29,7a0739328409055,96.87,29701.898496187587,415078.0626202983,33.77700406559533,Amicon,157.28571428571428,A4,
ABOO_5/27-5/28,2020-05-28,7a0739328409055,98.33,50552.69917998434,183061.6376335012,25.35413670871695,Amicon,74.14285714285714,A4,
ABOO_5/26-5/27,2020-05-27,7a0739328409055,101.92,205492.5180820444,207759.90757089847,116.96741524174445,Amicon,83.14285714285714,A4,
ABOO_5/25-5/26,2020-05-26,7a0739328409055,106.68,98453.37133806664,216589.95017519878,58.4219473772389,Amicon,86.57142857142857,A4,
ABOO_5/24-5/25,2020-05-25,7a0739328409055,99.63,66624.72248432897,177859.2682384689,32.46527229494197,Amicon,87.0,A4,
ABOO_5/23-5/24,2020-05-24,7a0739328409055,102.62,81060.82938661423,262390.58450329513,58.272872337193405,Amicon,90.57142857142857,A4,
