Kit_ID,Tube_ID,file,lab_protocol_version,N1,N2,PMMV,sars-cov-2
1000.A,1000.A.1,2b81620deb71bbe,Amicon,6.212440849204566,10.63296013532147,947732.5470386265,8.422700492263019
1000.C,1000.C.1,e774ca585281d1d,Amicon,53.229905264740445,77.16090491893031,878010.1423827383,65.19540509183538
1000.E,1000.E.1,b886f8880677828,Amicon,17424.015851257926,10354.555629395587,899330.6640110407,13889.285740326755
1000.E,1000.E.1R,7c476c7a2be3b39,Amicon,12818.500447590248,9172.95481200011,794165.8510256052,10995.72762979518
1000.E,1000.E.2,7c476c7a2be3b39,Amicon,19131.518696295916,10646.327477076959,796428.34698067,14888.923086686438
1000.X,1000.X.1,947d1660571e8e8,Amicon,34.70696810754155,20.168436758116997,674862.5774239589,27.437702432829273
1002.A,1002.A.1,a0a1fa8a55ac47c,Amicon,32.72258744611316,29.199865616239766,713930.1925637239,30.961226531176465
1002.B,1002.B.1,f2f0b8aa709c37f,Amicon,1.8628912159796363,3.8128655809805707,717430.1968576083,2.8378783984801035
1002.F,1002.F.1,e6fa768310795eb,Amicon,14.935388780902683,11.360733997856173,531627.0404820853,13.148061389379428
1003.E,1003.E.1,ee3020e17a26156,Amicon,0.0,0.0,813409.4645461774,0.0
1003.F,1003.F.1,f1f4b966e2c4a01,Amicon,0.0,0.0,355816.5930735478,0.0
1004.A,1004.A.1,3bb6a6dee70c53b,Amicon,86.02722508657182,53.399136156861736,519508.7391095743,69.71318062171677
1004.B,1004.B.1,4c644a32fc5e06e,Amicon,60.06855836313043,118.3576971603082,392997.79414264974,89.21312776171932
1004.E,1004.E.1,e006cdc0142d95f,Amicon,275.2929550380322,218.8140461490193,646907.2007471127,247.05350059352574
1005.A,1005.A.1,35cb10a6f8e034b,Amicon,23.91101595244729,36.30472731615963,341559.29919370485,30.107871634303457
1005.B,1005.B.1,2eb28035768de7b,Amicon,62.89134090817862,70.93600928968124,329863.9761719617,66.91367509892993
1005.C,1005.C.1,4facbacb7890cda,Amicon,18.76791542491405,13.607945629459124,371753.63666448946,16.187930527186587
1005.E,1005.E.1,0f2299223156059,Amicon,15.923113543051661,10.635624891424909,574984.0108938279,13.279369217238285
1007.B,1007.B.1,50a9212ca65e239,Amicon,22.736153678142855,27.79595125324057,1255110.434157501,25.266052465691715
1008.A,1008.A.1,71f5b348d187476,Amicon,6.2623865704370205,2.868028712872976,2159036.808886597,4.5652076416549985
1008.B,1008.B.1,ef38f113bf24c9f,Amicon,137.4696979215374,112.20327856816981,1848408.7028243656,124.8364882448536
1008.C,1008.C.1,94ddcfa693d220d,Amicon,26.540911679988046,37.91775450885218,1519236.5416487698,32.22933309442011
1008.E,1008.E.1,d02f12c3d80ecee,Amicon,32.714265263268096,36.62349350738544,1142613.978202942,34.66887938532677
1009.B,1009.B.1,ddda35f5821d1f6,Amicon,9.703629357105726,9.078361971509063,577645.0317563461,9.390995664307393
1009.C,1009.C.1,409824696527c7f,Amicon,34.15039389122925,3.024067598197858,929305.8787484217,18.587230744713555
1010.A,1010.A.1,ae36b038955cd89,Amicon,87.68910055796243,87.25648297311835,1768199.3122741843,87.47279176554039
1010.B,1010.B.1,cf0f5b317008d6a,Amicon,11.991214131961693,19.243162178898697,1443594.650498568,15.617188155430195
1010.C,1010.C.1,c87292b9612d177,Amicon,0.0,0.0,711495.9560075197,0.0
1010.E,1010.E.1,fa77f586766ad21,Amicon,0.0,15.548373046377373,510496.0924469217,7.774186523188686
1011.B,1011.B.1,bbcd9f895d85353,Amicon,14.77104150713477,19.67788873213583,1555603.338647524,17.2244651196353
1011.E,1011.E.1,c83edb8490b4153,Amicon,0.0,11.373300199712661,820284.0754501639,5.6866500998563305
1012.A,1012.A.1,6814f20c0f264aa,Amicon,17.13332988606056,39.28930632629555,1280209.3863487458,28.211318106178055
1012.C,1012.C.1,8c00ca7231cde90,Amicon,2.1608045958918267,8.106237584382532,1490292.7038318003,5.1335210901371795
1016.A,1016.A.1,c37438ead370dcf,Amicon,6.147230456421483,8.824551188977502,561974.6777824695,7.485890822699492
1018.B,1018.B.1,585274d483196ca,Amicon,1057.1063359262625,614.3526202750086,368063.72752778576,835.7294781006356
1018.B,1018.B.1R,a0a1fa8a55ac47c,Amicon,736.6342481539265,593.6515916049478,385052.6001972652,665.1429198794372
1018.B,1018.B.2,4de8c9c23e93820,Amicon,443.2416413751051,412.9045771422978,330754.1122382281,428.07310925870144
1018.B,1018.B.2R,299d517f39549d3,Amicon,1082.4273982987843,541.1663264202481,450496.17820861307,811.7968623595161
1018.B,1018.B.3,299d517f39549d3,Amicon,1406.3310070888458,524.2805681772556,310081.0611799313,965.3057876330507
1018.C,1018.C.1,299d517f39549d3,Amicon,182.32480663979865,132.44983086328617,219334.2696219928,157.3873187515424
1019.A,1019.A.1,78ba3408e1b7c67,Amicon,12.058349904924128,12.285751528934336,216412.65568613543,12.172050716929231
1021.A,1021.A.1,a0a1fa8a55ac47c,Amicon,59.00560391474147,76.43831452852,298716.29524976393,67.72195922163073
1022.B,1022.B.1,fbe00afef37a56a,Amicon,506.7670079033872,462.06161965294126,256310.2334658869,484.4143137781642
1023.A,1023.A.1,3bb6a6dee70c53b,Amicon,831.2914275555994,141.07662985344248,255190.87108742236,486.1840287045209
1023.B,1023.B.1,92afe8efbef7bf8,Amicon,589.2975399731508,349.9841353001293,577804.2997779787,469.6408376366401
1024.A,1024.A.1,0f2299223156059,Amicon,526.8378309686741,528.3502995676449,194233.93153247077,527.5940652681595
1025.B,1025.B.1,9acdf19c6dd8661,Amicon,92.24894709835901,76.55410882878591,396964.90693316265,84.40152796357246
1025.C,1025.C.1,e774ca585281d1d,Amicon,127.13077791704018,103.84135743813961,387323.64883366536,115.48606767758989
1027.B,1027.B.1,2b81620deb71bbe,Amicon,56.042068696859126,38.58664180169942,368028.9978022557,47.314355249279274
1028.A,1028.A.1,0cc6a07a4f9c2b2,Amicon,203.86364364643455,123.62005252392618,542884.3959428208,163.74184808518038
1028.B,1028.B.1,0cc6a07a4f9c2b2,Amicon,170.90475493896585,148.35579692393216,931131.1618461842,159.630275931449
1029.A,1029.A.1,0eb73064086c715,Amicon,185.90010513603752,171.80242592143205,397568.0865577457,178.85126552873479
1029.B,1029.B.1,0eb73064086c715,Amicon,184.1802170278403,104.26889941951549,420544.8532960443,144.2245582236779
1030.A,1030.A.1,4844450139c75b4,Amicon,1605.3712874979155,1443.6563871630315,326850.11708631297,1524.5138373304735
1031.B,1031.B.1,585274d483196ca,Amicon,56.67054651493819,46.28934470415836,326502.4415797377,51.479945609548274
1031.C,1031.C.1,947d1660571e8e8,Amicon,33.11617362323116,29.87719000507724,411661.8970734289,31.4966818141542
1031.E,1031.E.1,9acdf19c6dd8661,Amicon,138.68788632107467,74.62267544167686,436228.83336498874,106.65528088137577
1031.F,1031.F.1,a0a1fa8a55ac47c,Amicon,91.60643143141716,48.00507215567112,403429.3981103304,69.80575179354415
1032.A,1032.A.1,409824696527c7f,Amicon,179.90235459333326,155.01283879467576,128236.10508144682,167.4575966940045
1032.B,1032.B.1,f2f0b8aa709c37f,Amicon,295.40518923210044,159.5783764524647,630492.9805714787,227.4917828422826
1032.C,1032.C.1,eb44936b91c008e,Amicon,425.1741759291667,417.13571730118747,413225.3758804362,421.1549466151771
1032.F,1032.F.1,40dd4c6036b050a,Amicon,890.011149138876,726.6160900215629,486044.4241408808,808.3136195802194
1033.A,1033.A.1,3bc6ac55308f956,Amicon,173.180092187508,137.21033581440145,568288.9257251328,155.1952140009547
1033.C,1033.C.1,e6fa768310795eb,Amicon,77.03108299614749,37.80144491651298,215776.1304409938,57.41626395633023
1034.A,1034.A.1,2eb28035768de7b,Amicon,164.84720616597207,114.65043545166077,287543.7931730929,139.74882080881642
1034.C,1034.C.1,35cb10a6f8e034b,Amicon,666.6537492245603,397.9848979328567,166966.18925964084,532.3193235787085
1034.E,1034.E.1,35cb10a6f8e034b,Amicon,1437.7351579453443,738.1678519307221,310261.51536446967,1087.9515049380332
1035.A,1035.A.1,b134e9e8ad788d3,Amicon,479.21585049481365,230.72730060604707,248733.0877824189,354.9715755504304
1035.B,1035.B.1,b134e9e8ad788d3,Amicon,956.1427890553024,538.645561577706,384781.3504513404,747.3941753165042
1035.E,1035.E.1,b134e9e8ad788d3,Amicon,564.1906712881372,475.62987607549485,260970.93324466402,519.9102736818161
1036.A,1036.A.1,862d961783d1fd1,Amicon,505.5539536070492,349.5320936056899,581568.3221919087,427.54302360636956
1036.B,1036.B.1,4844450139c75b4,Amicon,491.4099424026015,463.1258669236966,261805.72200566743,477.267904663149
1036.E,1036.E.1,862d961783d1fd1,Amicon,274.2959588439009,80.72461931669045,265609.50927571714,177.51028908029568
1037.A,1037.A.1,e774ca585281d1d,Amicon,154.05780512158785,169.5811382947327,192348.10714461174,161.81947170816028
1037.B,1037.B.1,e9e1378df078849,Amicon,61.08855467466574,58.674347944775775,793058.4180563347,59.88145130972076
1037.C,1037.C.1,9acdf19c6dd8661,Amicon,136.68308374631573,96.93174078984418,673081.8118566604,116.80741226807996
1037.F,1037.F.1,b886f8880677828,Amicon,118.42232847092639,89.98373613966264,214890.51641696962,104.20303230529451
1038.A,1038.A.1,f2f0b8aa709c37f,Amicon,133.59937735008455,166.92054353130206,606391.2632725972,150.2599604406933
1038.B,1038.B.1,ddda35f5821d1f6,Amicon,723.9396914846967,433.3303195545963,200285.7493685592,578.6350055196465
1038.C,1038.C.1,ddda35f5821d1f6,Amicon,603.5719672239749,372.86795139579203,245804.41310631708,488.21995930988345
1038.E,1038.E.1,ddda35f5821d1f6,Amicon,45.42417582566912,30.11282131981447,268605.83141784486,37.76849857274179
1039.A,1039.A.1,e6fa768310795eb,Amicon,104.38835360085272,94.15080889071555,411137.89580698084,99.26958124578414
1039.B,1039.B.1,e6fa768310795eb,Amicon,86.00878136927378,73.27929074931359,397909.3435379335,79.64403605929368
1039.C,1039.C.1,f1f4b966e2c4a01,Amicon,73.60178992472164,72.15640587299443,553609.4897153242,72.87909789885803
1039.E,1039.E.1,f1f4b966e2c4a01,Amicon,115.74510438638212,48.12551169412467,326774.0983315483,81.9353080402534
104.A,104.A.1,dc4b114457791c7,PEG,0.0,0.0,,0.0
104.A,104.A.1,526a1f296f48241,PEG,,,284168.6807296886,
104.B,104.B.1,e1ee98aa37fdfd6,PEG,0.0,0.0,,0.0
104.B,104.B.1,f9ac930a9ddab83,PEG,,,539014.2811226402,
104.B,104.B.2,e1ee98aa37fdfd6,PEG,0.0,0.0,,0.0
104.B,104.B.2,60c98eebc535e3a,PEG,,,669644.4447851252,
104.C,104.C.1,2586fa0b49fd6b5,PEG,37.730606626975565,0.0,,18.865303313487782
104.C,104.C.1,df3b0743f5a233d,PEG,,,77589.17211483952,
104.D,104.D.1,3594ae7d081714c,PEG,46.35695281219275,42.40315863698606,,44.38005572458941
104.D,104.D.1,4782f7221f34599,PEG,,,419245.3010803267,
104.E,104.E.1,b85b99d7aefed8b,PEG,28.21674522358878,0.0,157711.2157709071,14.10837261179439
1040.B,1040.B.1,dd951ab40e1194b,Amicon,281.97214378393693,165.76581737375952,155320.39171693273,223.8689805788482
1040.C,1040.C.1,dd951ab40e1194b,Amicon,407.0462362631609,234.89955248552803,347076.6852239477,320.9728943743445
1040.E,1040.E.1,dd951ab40e1194b,Amicon,424.1430864954545,230.46294189942546,202343.89667391762,327.30301419744
1041.A,1041.A.1,fbe00afef37a56a,Amicon,1295.8236959282046,1198.4067861654228,320059.8582450813,1247.1152410468137
1041.B,1041.B.1,a07d72033eeec9e,Amicon,414.83891659700345,393.0537232896049,436911.1869562101,403.94631994330416
1041.C,1041.C.1,a07d72033eeec9e,Amicon,548.2875667049738,315.4313835292405,326629.8340143952,431.85947511710714
1041.E,1041.E.1,a07d72033eeec9e,Amicon,130.46956706551472,95.41956151244004,306945.16262287373,112.94456428897738
1042.A,1042.A.1,35cb10a6f8e034b,Amicon,777.193695630046,592.2783861987645,195197.895342458,684.7360409144053
1042.C,1042.C.1,eb44936b91c008e,Amicon,1357.748111859734,1278.2103395756449,449261.42905765463,1317.9792257176896
1042.E,1042.E.1,4844450139c75b4,Amicon,383.1995573057411,154.7504835099464,272380.4653807218,268.9750204078438
1043.A,1043.A.1,e9e1378df078849,Amicon,34.989241351973725,50.518804643259934,111235.7532020205,42.75402299761683
1043.E,1043.E.1,bab2ce49d394e91,Amicon,81.78400840584938,76.97425724400317,490144.08332296385,79.37913282492627
1043.F,1043.F.1,b886f8880677828,Amicon,75.4769932625757,64.94296079303405,261808.04014312036,70.20997702780488
1044.A,1044.A.1,ee3020e17a26156,Amicon,158.88324877732668,123.79310959764616,240142.92945013684,141.33817918748642
1044.B,1044.B.1,ee3020e17a26156,Amicon,172.09988468135415,73.76240237474518,192752.93834621532,122.93114352804966
1044.C,1044.C.1,ee3020e17a26156,Amicon,63.24496079905371,35.51403692910335,257821.90158119728,49.37949886407853
1044.E,1044.E.1,409824696527c7f,Amicon,686.3061710492443,536.9890503279944,169556.65519869037,611.6476106886194
1046.A,1046.A.1,e006cdc0142d95f,Amicon,535.6967797078595,340.7691718259609,194572.02941447406,438.23297576691016
1046.B,1046.B.1,670735d78a98f02,Amicon,259.0966178250341,210.16421503564808,371709.58879624127,234.63041643034109
1046.C,1046.C.1,670735d78a98f02,Amicon,761.4668019720224,476.6183884500719,236407.36763392366,619.0425952110471
1046.E,1046.E.1,670735d78a98f02,Amicon,295.2081497111639,193.77658006598244,153253.39802477474,244.49236488857318
1048.A,1048.A.1,4b60e16e1d68c26,Amicon,129.78629922809026,159.5640186134906,208892.82634223727,144.6751589207904
